name,entity_subtype,country,latitude,longitude,has_thumbnail,page_views,entity_type,total_area,population,is_test,continent
Strzelce Opolskie,PopulatedPlace,Poland,50.5,18.2833,1,11107.0,populated_place,30130000.0,17900.0,False,Europe
Zhashkiv,PopulatedPlace,Ukraine,49.2358,30.1111,1,8611.0,populated_place,130000000.0,13355.0,True,Europe
Ormesby,PopulatedPlace,United Kingdom,54.5492,-1.18167,1,11747.0,populated_place,,10714.0,False,Europe
Chapel of Nossa Senhora das Vitórias (Furnas),HistoricBuilding,Portugal,37.7502,-25.3306,1,7702.0,structure,,,True,Europe
Pragelato,PopulatedPlace,Italy,45.0167,6.95,1,9729.0,populated_place,89200000.0,733.0,True,Europe
Zhovkva,PopulatedPlace,Ukraine,50.055,23.9767,1,23857.0,populated_place,7640000.0,13895.0,False,Europe
"Thio, New Caledonia",PopulatedPlace,France,-21.62,166.22,1,5044.0,populated_place,,2524.0,False,Europe
Carsoli,PopulatedPlace,Italy,42.1,13.0833,1,6164.0,populated_place,466000000.0,5312.0,True,Europe
Torremaggiore,PopulatedPlace,Italy,41.6833,15.2833,1,10959.0,populated_place,210010000.0,16643.0,True,Europe
Santa Flavia,PopulatedPlace,Italy,38.0833,13.5333,1,7575.0,populated_place,14000000.0,11186.0,True,Europe
San Giuliano Terme,PopulatedPlace,Italy,43.7611,10.4403,1,11003.0,populated_place,91770000.0,21399.0,False,Europe
"St Mary's, Bourne Street",HistoricBuilding,United Kingdom,51.4918,-0.154458,1,5901.0,structure,,,False,Europe
Horam,PopulatedPlace,United Kingdom,50.93,0.24,1,9937.0,populated_place,10400000.0,2642.0,False,Europe
Great Linford,PopulatedPlace,United Kingdom,52.068,-0.7637,1,10488.0,populated_place,,19350.0,False,Europe
Saint-Ursanne,PopulatedPlace,Switzerland,47.3667,7.15,1,10599.0,populated_place,11460000.0,730.0,False,Europe
Brienz,PopulatedPlace,Switzerland,46.75,8.03333,1,36929.0,populated_place,48000000.0,2010.0,False,Europe
Sacro Cuore di Cristo Re,HistoricBuilding,Italy,41.9174,12.4653,1,5313.0,structure,,,False,Europe
"Beeston, Cheshire",PopulatedPlace,United Kingdom,53.1234,-2.68613,1,7998.0,populated_place,,188.0,False,Europe
Casarsa della Delizia,PopulatedPlace,Italy,45.95,12.85,1,9860.0,populated_place,20400000.0,8599.0,True,Europe
Medzhybizh,PopulatedPlace,Ukraine,49.4333,27.4167,1,32504.0,populated_place,,1731.0,False,Europe
Clärchens Ballroom,Building,Germany,52.5269,13.3967,1,10108.0,structure,,,True,Europe
Zwartsluis,PopulatedPlace,Netherlands,52.6419,6.07028,1,5269.0,populated_place,18340000.0,4890.0,False,Europe
Buscemi,PopulatedPlace,Italy,37.0833,14.8833,1,9408.0,populated_place,52000000.0,1025.0,False,Europe
Province of Treviso,Region,Italy,45.6722,12.2422,1,49537.0,populated_place,2479830000.0,885616.0,False,Europe
Almaraz Nuclear Power Plant,PowerStation,Spain,39.8081,-5.69694,1,22346.0,structure,,,False,Europe
Bishop's Stortford,PopulatedPlace,United Kingdom,51.872,0.1725,1,269646.0,populated_place,,41088.0,False,Europe
"Bilton, Warwickshire",PopulatedPlace,United Kingdom,52.3594,-1.29004,1,8904.0,populated_place,,6175.0,True,Europe
Little Dunmow,PopulatedPlace,United Kingdom,51.8663,0.404606,1,9522.0,populated_place,,284.0,True,Europe
Monterosso al Mare,PopulatedPlace,Italy,44.1458,9.65417,1,150224.0,populated_place,11250000.0,1522.0,True,Europe
Zernez,PopulatedPlace,Switzerland,46.7,10.1,1,13225.0,populated_place,203850000.0,1570.0,True,Europe
Een,PopulatedPlace,Netherlands,53.0756,6.39389,1,5692.0,populated_place,810000.0,540.0,False,Europe
Longcross,PopulatedPlace,United Kingdom,51.37,-0.59,0,28350.0,populated_place,,943.0,False,Europe
Madley,PopulatedPlace,United Kingdom,52.044,-2.849,1,8716.0,populated_place,,1200.0,True,Europe
San Marcello al Corso,HistoricBuilding,Italy,41.8987,12.4818,1,40359.0,structure,,,False,Europe
Farmakonisi,Island,Greece,37.2833,27.0833,1,19482.0,populated_place,,10.0,False,Europe
Kuyavia,Region,Poland,52.7,18.55,1,33249.0,populated_place,5989000000.0,950000.0,False,Europe
Mund,PopulatedPlace,Switzerland,46.3167,7.95,1,8460.0,populated_place,40200000.0,528.0,False,Europe
Cowfold,PopulatedPlace,United Kingdom,50.9897,-0.27256,1,9378.0,populated_place,19260000.0,1864.0,True,Europe
Burghwallis,PopulatedPlace,United Kingdom,53.6,-1.18,1,6474.0,populated_place,,300.0,False,Europe
Crans-Montana,PopulatedPlace,Switzerland,46.3167,7.48333,1,227745.0,populated_place,59660000.0,10931.0,True,Europe
Leiria District,Region,Portugal,39.7439,-8.80694,1,26530.0,populated_place,3515000000.0,470930.0,False,Europe
Capel St. Mary,PopulatedPlace,United Kingdom,52.002,1.046,1,8457.0,populated_place,7790000.0,2877.0,False,Europe
Phocis,Region,Greece,38.5,22.25,1,81736.0,populated_place,2120000000.0,40343.0,False,Europe
Conco,PopulatedPlace,Italy,45.8,11.6167,1,7719.0,populated_place,27000000.0,2200.0,False,Europe
Lugton,PopulatedPlace,United Kingdom,55.7439,-4.52764,1,6535.0,populated_place,,80.0,False,Europe
Horsted Keynes,PopulatedPlace,United Kingdom,51.0346,-0.0267,1,16431.0,populated_place,15810000.0,1586.0,False,Europe
Quimper Cathedral,HistoricBuilding,France,47.9956,-4.10222,1,19575.0,structure,,,False,Europe
Bormio,PopulatedPlace,Italy,46.4667,10.3667,1,72507.0,populated_place,41000000.0,4088.0,True,Europe
Braybrooke,PopulatedPlace,United Kingdom,52.44,-0.88,1,7484.0,populated_place,,378.0,False,Europe
San Pietro Infine,PopulatedPlace,Italy,41.45,13.9667,1,10586.0,populated_place,,988.0,False,Europe
Sant Francesc Xavier,PopulatedPlace,Spain,38.705,1.42833,0,9721.0,populated_place,,2790.0,True,Europe
Ripacandida,PopulatedPlace,Italy,40.9167,15.7333,1,20004.0,populated_place,33000000.0,1767.0,True,Europe
Rezzato,PopulatedPlace,Italy,45.5333,10.2333,1,5239.0,populated_place,18000000.0,13543.0,True,Europe
"Carlton, County Durham",PopulatedPlace,United Kingdom,54.591,-1.388,1,5982.0,populated_place,,726.0,False,Europe
"Bormida, Liguria",PopulatedPlace,Italy,44.2833,8.23333,1,14184.0,populated_place,22430000.0,453.0,False,Europe
Villa Noailles,Building,France,43.124,6.12718,1,23943.0,structure,,,False,Europe
Bonaduz,PopulatedPlace,Switzerland,46.8167,9.4,1,6778.0,populated_place,14450000.0,2015.0,False,Europe
Lago di Bientina,Lake,Italy,43.75,10.64,1,13443.0,natural_place,,,False,Europe
Wesoła,Region,Poland,52.2323,21.0084,1,6086.0,populated_place,22940000.0,25439.0,False,Europe
Roccascalegna,PopulatedPlace,Italy,42.0625,14.305,1,11612.0,populated_place,23010000.0,1177.0,True,Europe
"Ayas, Aosta Valley",PopulatedPlace,Italy,45.8167,7.68333,1,6571.0,populated_place,129420000.0,1359.0,True,Europe
Camporeale,PopulatedPlace,Italy,37.9,13.1,0,6420.0,populated_place,38600000.0,3652.0,False,Europe
Castle Cary,PopulatedPlace,United Kingdom,51.088,-2.51395,1,54443.0,populated_place,,2276.0,False,Europe
"Bever, Switzerland",PopulatedPlace,Switzerland,46.55,9.88333,1,7787.0,populated_place,45650000.0,2015.0,False,Europe
Ciutat Vella,Region,Spain,41.3808,2.17306,1,46212.0,populated_place,4370000.0,107426.0,False,Europe
Matalascañas,PopulatedPlace,Spain,36.9933,-6.54333,1,14459.0,populated_place,,785.0,True,Europe
