continent,,name,entity_subtype,country,latitude,longitude,has_thumbnail,page_views,entity_type,total_area,population,is_test,continent
Africa,3220,"Mbale, Kenya",PopulatedPlace,Kenya,0.0816667,34.7214,1,10423.0,populated_place,,60000.0,False,Africa
Africa,3221,Gamawa,PopulatedPlace,Nigeria,12.1333,10.5333,1,5501.0,populated_place,2925000000.0,286388.0,False,Africa
Africa,3222,Béni Saf,PopulatedPlace,Algeria,35.3,-1.38333,1,7001.0,populated_place,61300000.0,43802.0,False,Africa
Africa,3223,Cato Ridge,PopulatedPlace,South Africa,-29.716,30.616,0,9618.0,populated_place,20180000.0,3874.0,False,Africa
Africa,3224,Bloubosrand,PopulatedPlace,South Africa,-26.0267,27.9667,0,6675.0,populated_place,2360000.0,10879.0,False,Africa
Africa,3225,Lephalale Local Municipality,PopulatedPlace,South Africa,-23.5,27.9167,1,7846.0,populated_place,13784000000.0,115767.0,False,Africa
Africa,3226,Elsie's River,PopulatedPlace,South Africa,-33.9181,18.5767,1,25572.0,populated_place,5520000.0,42479.0,True,Africa
Africa,3227,Saint Mark's Coptic Orthodox Cathedral,HistoricBuilding,Egypt,30.0722,31.2756,1,61797.0,structure,,,False,Africa
Africa,3228,Bon Accord Dam,Dam,South Africa,-25.6292,28.1894,1,6743.0,structure,,,False,Africa
Africa,3229,Three Rivers East,PopulatedPlace,South Africa,-26.66,28.007,0,6397.0,populated_place,3090000.0,2547.0,True,Africa
Africa,3230,Limpopo,Region,South Africa,-24.0,29.0,1,425298.0,populated_place,125754000000.0,5404868.0,False,Africa
Africa,3231,Minya Governorate,PopulatedPlace,Egypt,28.11,30.11,1,59415.0,populated_place,32279000000.0,5807000.0,False,Africa
Africa,3232,Molteno Dam,Dam,South Africa,-33.9385,18.412,1,6206.0,structure,,,False,Africa
Africa,3233,Skukuza,PopulatedPlace,South Africa,-24.9958,31.5919,1,30482.0,populated_place,4980000.0,1599.0,False,Africa
Africa,3234,Gariep Dam (town),PopulatedPlace,South Africa,-30.6,25.5,1,18305.0,populated_place,24830000.0,1568.0,False,Africa
Africa,3235,Mpeketoni,PopulatedPlace,Kenya,-2.38889,40.4219,1,8776.0,populated_place,,50000.0,False,Africa
Africa,3236,"Belouizdad, Algiers",PopulatedPlace,Algeria,36.7535,3.06228,1,7162.0,populated_place,,44050.0,False,Africa
Africa,3237,Giraffe Manor,Building,Kenya,-1.3756,36.7447,1,112414.0,structure,,,True,Africa
Africa,3238,Mangaung Metropolitan Municipality,PopulatedPlace,South Africa,-29.1,26.2167,1,40774.0,populated_place,6284000000.0,747431.0,False,Africa
Africa,3239,Gulf of Aqaba,Bay,Egypt,28.75,34.75,1,272303.0,natural_place,,,True,Africa
Africa,3240,Mount Edgecombe,PopulatedPlace,South Africa,-29.721,31.05,0,13318.0,populated_place,8340000.0,7323.0,False,Africa
Africa,3241,City of Ekurhuleni Metropolitan Municipality,PopulatedPlace,South Africa,-26.1667,28.3,1,128112.0,populated_place,1975000000.0,3178470.0,False,Africa
Africa,3242,Cross River State,PopulatedPlace,Nigeria,5.75,8.5,1,255563.0,populated_place,20156000000.0,3737517.0,True,Africa
Africa,3243,Beni Djellil,PopulatedPlace,Algeria,36.5639,4.79472,0,6030.0,populated_place,,8983.0,False,Africa
Africa,3244,Mondeor,PopulatedPlace,South Africa,-26.271,27.998,0,10140.0,populated_place,3710000.0,8021.0,False,Africa
